TrainerID;Nationality
2468;Poland
2469;Poland
2472;Poland
2473;Czech
2473;Republic
2474;Slovakia
2475;Poland
2476;Germany
2476;Poland
2477;Poland
2478;Poland
2479;Poland
2480;Poland
2484;Scotland
2487;Scotland
2490;Serbia
2496;Poland
2498;Poland
2500;Poland
2503;Germany
2504;Mexico
2504;Serbia
2508;Poland
2509;Ireland
2512;Serbia
2519;Germany
2539;Germany
2542;Serbia
2543;Sweden
2545;Ukraine
2546;Argentina
2546;Spain
2551;France
2553;Argentina
2555;Portugal
2557;Greece
2558;Greece
2562;Spain
2567;Spain
2572;Spain
2580;Switzerland
2582;Switzerland
2584;Switzerland
2586;Sweden
2587;Bosnia-Herzegovina
2587;Sweden
2588;Argentina
2590;Slovakia
2591;France
2592;Czech
2592;Republic
2593;Switzerland
2594;Portugal
2596;Scotland
2597;Scotland
2598;Romania
2599;Romania
2603;Scotland
2609;Bosnia-Herzegovina
2609;Turkey
2618;Turkey
2629;Germany
2630;Uruguay
2634;Scotland
2635;Scotland
2636;Scotland
2637;England
2638;Scotland
2639;England
2640;Italy
2643;Norway
2654;Ireland
2661;Spain
2662;Spain
2670;Czech
2670;Republic
2674;France
2674;Spain
2675;England
2676;England
2678;Poland
2679;France
2680;France
2681;Poland
2683;Montenegro
2690;Austria
2690;Croatia
2691;Czech
2691;Republic
2693;Ireland
2694;Slovakia
2695;Slovakia
2696;Slovakia
2697;Slovakia
2699;Brazil
2701;Ireland
2701;Northern
2703;Germany
2704;England
2707;Slovakia
2708;Romania
2709;England
2710;Germany
2711;Croatia
2715;Germany
2716;Germany
2723;Poland
2724;Czech
2724;Republic
2724;Slovakia
2728;Italy
2730;England
2730;Romania
2740;Serbia
2741;Bosnia-Herzegovina
2748;Montenegro
2753;Russia
2754;Russia
2754;Turkmenistan
2755;Russia
2755;Ukraine
2761;Russia
2763;Russia
2764;Latvia
2765;Spain
2770;Austria
2771;Switzerland
2772;Germany
2778;Sweden
2783;Spain
2786;Germany
2787;Netherlands
2790;Germany
2795;Germany
2802;Poland
2803;Austria
2808;Italy
2808;Switzerland
2810;Poland
2812;Scotland
2816;Scotland
2823;Italy
2824;Denmark
2825;Lithuania
2835;Portugal
2835;Russia
2836;Germany
2837;Sweden
2838;Sweden
2840;Sweden
2844;Sweden
2846;Spain
2852;Poland
2853;England
2856;Czech
2856;Republic
2858;Czech
2858;Republic
2859;Czech
2859;Republic
2861;Czech
2861;Republic
2863;Slovakia
2864;Czech
2864;Republic
2865;Czech
2865;Republic
2866;Czech
2866;Republic
2867;Czech
2867;Republic
2868;Argentina
2868;Italy
2878;Sweden
2881;Denmark
2882;Denmark
2883;Denmark
2885;Denmark
2886;Sweden
2887;Denmark
2888;Denmark
2889;Italy
2894;Argentina
2894;Italy
2895;Denmark
2898;Denmark
2914;Croatia
2915;France
2917;Uruguay
2919;Ireland
2922;Spain
2923;Argentina
2924;Croatia
2931;Austria
2934;Bulgaria
2951;Germany
2951;Nigeria
2954;Portugal
2961;Romania
2975;Germany
2989;Germany
2991;Austria
2998;Austria
3000;Austria
3003;Austria
3005;Austria
3006;Austria
3007;Austria
3008;Slovenia
3009;Austria
3011;Germany
