PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
96214;L1;0;0;0;0;0
96220;L1;0;0;0;0;0
96263;L1;0;0;0;0;0
96560;L1;19;0;0;0;0
96561;L1;0;0;0;0;0
96592;L1;0;0;0;0;0
96598;L1;0;0;0;0;0
96604;L1;0;0;0;0;0
96622;L1;13;0;0;0;0
96625;L1;0;0;0;0;0
96627;L1;0;0;0;0;0
96639;L1;30;9;9;2;1
96641;L1;0;0;0;0;0
96657;L1;21;10;0;3;1
96975;L1;0;0;0;0;0
97027;L1;0;0;0;0;0
97033;L1;0;0;0;0;0
97053;L1;10;0;0;3;0
97060;L1;0;0;0;0;0
97070;L1;0;0;0;0;0
97080;L1;0;0;0;0;0
97105;CL;3;0;0;1;0
97105;L1;0;0;0;0;0
97123;L1;0;0;0;0;0
97160;L1;38;4;3;4;0
97177;L1;0;0;0;0;0
97187;L1;0;0;0;0;0
97201;L1;0;0;0;0;0
97253;L1;0;0;0;0;0
97255;L1;0;0;0;0;0
97261;L1;0;0;0;0;0
97262;L1;14;0;0;4;0
97269;L1;5;0;0;0;0
97288;L1;0;0;0;0;0
97306;L1;0;0;0;0;0
97307;L1;0;0;0;0;0
97311;L1;0;0;0;0;0
97316;L1;0;0;0;0;0
97388;L1;30;0;0;0;1
97418;L1;0;0;0;0;0
97420;L1;1;0;0;0;0
97442;L1;0;0;0;0;0
97447;L1;27;0;0;7;0
97453;L1;0;0;0;0;0
97467;L1;0;0;0;0;0
97468;L1;8;2;0;0;0
97479;L1;0;0;0;0;0
97481;L1;0;0;0;0;0
97599;L1;0;0;0;0;0
97602;L1;0;0;0;0;0
97606;L1;0;0;0;0;0
97634;L1;0;0;0;0;0
97636;L1;0;0;0;0;0
97659;L1;0;0;0;0;0
97676;L1;0;0;0;0;0
97685;L1;0;0;0;0;0
97725;L1;0;0;0;0;0
97760;L1;0;0;0;0;0
97898;L1;0;0;0;0;0
97900;L1;0;0;0;0;0
97902;L1;0;0;0;0;0
98230;L1;0;0;0;0;0
98237;L1;0;0;0;0;0
99015;L1;33;6;0;3;0
99025;L1;0;0;0;0;0
99651;L1;0;0;0;0;0
99655;L1;0;0;0;0;0
99665;L1;0;0;0;0;0
99711;L1;0;0;0;0;0
99716;L1;0;0;0;0;0
99723;L1;0;0;0;0;0
99725;L1;0;0;0;0;0
99729;L1;11;0;0;0;0
99932;L1;0;0;0;0;0
100490;L1;0;0;0;0;0
100492;L1;0;0;0;0;0
100493;L1;0;0;0;0;0
100533;L1;0;0;0;0;0
100609;L1;22;1;0;2;0
100662;L1;0;0;0;0;0
100718;L1;0;0;0;0;0
100819;L1;22;1;0;5;0
100842;L1;1;0;0;0;0
100861;L1;10;0;2;2;0
100917;L1;0;0;0;0;0
101040;CL;5;0;0;0;0
101051;CL;9;0;0;1;0
101052;CL;8;0;0;1;0
101092;L1;20;1;0;7;0
101101;GB1;32;1;0;0;0
101104;CL;8;0;0;1;0
101109;CL;9;2;2;3;0
101113;CL;9;0;1;1;0
101123;CL;10;0;0;0;0
101124;CL;7;0;0;0;0
101134;GB1;209;65;0;11;0
101287;CL;2;0;0;0;0
101300;GB1;16;0;0;2;0
101323;GB1;13;2;0;0;0
101325;GB1;34;1;0;3;0
101390;CL;2;0;0;1;0
101390;GB1;23;2;0;1;0
101713;L1;0;0;0;0;0
102014;GB1;226;40;0;20;0
102315;GB1;4;3;0;0;0
102474;CL;6;0;0;0;0
102475;CL;6;0;0;0;0
102483;CL;9;1;0;1;0
102506;GB1;41;5;0;2;0
102509;CL;2;0;0;0;0
102509;L1;10;0;0;0;0
104108;GB1;25;1;0;3;0
104112;GB1;18;4;0;1;0
104637;GB1;31;15;0;5;0
106097;CL;2;0;0;0;0
106810;GB1;14;0;0;0;1
106811;GB1;2;0;0;0;0
106893;GB1;24;1;0;5;0
106906;L1;5;0;0;1;1
106917;GB1;42;1;1;5;0
106935;CL;9;2;0;0;0
106965;L1;0;0;0;0;0
107155;L1;0;0;0;0;0
107171;L1;0;0;0;0;0
107196;GB1;10;1;0;0;0
107200;GB1;30;0;0;1;0
107229;GB1;27;1;8;0;0
107448;L1;30;1;0;3;0
107455;L1;23;0;0;7;0
107465;L1;0;0;0;0;0
107635;L1;0;0;0;0;0
107666;L1;0;0;0;0;0
107693;L1;20;1;0;6;0
108288;L1;28;0;0;0;0
108296;L1;0;0;0;0;0
108449;L1;0;0;0;0;0
108695;L1;0;0;0;0;0
108698;L1;0;0;0;0;0
108701;L1;0;0;0;0;0
108707;L1;0;0;0;0;0
108724;L1;0;0;0;0;0
108993;L1;13;0;0;1;0
109384;L1;0;0;0;0;0
109415;L1;0;0;0;0;0
109443;L1;0;0;0;0;0
109492;GB1;18;1;0;1;0
109493;GB1;29;2;0;0;0
109494;GB1;33;1;0;4;0
109503;GB1;33;5;0;1;0
109505;GB1;4;0;0;0;0
109637;L1;0;0;0;0;0
109710;L1;0;0;0;0;0
109713;L1;0;0;0;0;0
109756;L1;7;0;0;0;0
109758;L1;0;0;0;0;0
110257;L1;0;0;0;0;0
110385;L1;0;0;0;0;0
110710;L1;0;0;0;0;0
111089;L1;0;0;0;0;0
111622;L1;0;0;0;0;0
111626;L1;0;0;0;0;0
112153;L1;0;0;0;0;0
112159;L1;0;0;0;0;0
112227;L1;0;0;0;0;0
112234;L1;0;0;0;0;0
112271;L1;0;0;0;0;0
112282;L1;0;0;0;0;0
112485;L1;0;0;0;0;0
113965;L1;0;0;0;0;0
114243;L1;1;0;0;0;0
116741;CL;0;0;0;0;0
117190;GB1;9;2;0;0;0
117233;GB1;0;0;0;0;0
117240;CL;7;0;0;0;0
117755;GB1;40;2;0;0;0
119392;L1;0;0;0;0;0
119611;L1;0;0;0;0;0
120313;CL;10;0;0;1;0
120314;CL;7;0;0;1;0
120335;CL;4;0;0;0;0
120510;L1;0;0;0;0;0
121158;L1;8;0;0;0;0
127716;L1;0;0;0;0;0
131496;CL;2;1;0;1;0
132490;CL;2;0;0;0;0
133902;CL;2;0;0;0;0
133919;CL;9;1;0;0;0
135911;GB1;40;1;0;4;0
138694;L1;1;0;0;0;0
142521;CL;5;0;1;0;0
145634;CL;2;0;0;0;0
149233;L1;31;6;0;8;1
150889;GB1;26;3;0;4;0
152324;CL;2;0;0;0;0
153337;CL;1;0;0;0;0
163589;GB1;4;0;0;0;0
165697;GB1;0;0;0;0;0
167584;CL;4;1;0;0;0
168569;GB1;30;0;0;0;0
168585;GB1;42;9;0;0;0
170380;GB1;5;2;0;0;0
170801;CL;2;0;0;1;0
170802;CL;2;1;0;1;0
173498;GB1;15;0;0;1;0
173685;CL;11;0;0;0;0
174346;CL;2;1;0;0;0
174458;CL;5;0;1;0;0
175584;GB1;6;0;0;0;0
175866;CL;5;0;0;0;0
175866;GB1;30;3;0;2;0
175869;GB1;9;0;0;0;0
175888;CL;1;0;0;0;0
175888;GB1;7;0;0;0;0
175889;CL;2;1;0;1;0
175889;GB1;14;0;0;0;0
175897;GB1;40;2;0;7;0
176015;CL;0;0;0;0;0
176016;CL;3;0;0;0;0
176018;GB1;11;0;1;1;0
176019;GB1;0;0;0;0;0
176722;GB1;15;0;0;0;0
176806;GB1;28;9;0;5;0
176815;GB1;21;0;0;0;0
177056;GB1;31;0;0;2;0
177126;GB1;23;1;0;2;0
177253;GB1;20;1;0;6;0
177255;GB1;41;15;0;3;0
177266;GB1;4;0;0;0;0
177268;GB1;34;1;0;3;0
178738;CL;2;0;0;0;0
179195;CL;0;0;0;0;0
