PlayerID;Nationality
7518;Spain
7539;Argentina
7539;Italy
7540;Argentina
7540;Spain
7569;Serbia
7608;Spain
7630;Spain
7641;Spain
7659;Spain
7662;Spain
7670;Spain
7673;Spain
7681;Colombia
7694;Spain
7696;Spain
7700;Spain
7707;Spain
7768;Spain
7770;Spain
7771;Spain
7783;Spain
7791;Spain
7812;Serbia
7824;Spain
7827;Argentina
7827;Spain
7836;Spain
7864;Spain
7868;Mexico
7868;Uruguay
7897;Spain
7912;Portugal
7927;Italy
7981;Croatia
8022;Wales
8038;Turkey
8042;Turkey
8050;Turkey
8067;Denmark
8069;Austria
8077;Denmark
8123;Spain
8124;Spain
8137;Argentina
8141;Spain
8143;Belgium
8194;Germany
8201;Hungary
8204;Slovakia
8225;Germany
8322;France
8332;Spain
8339;Germany
8342;Germany
8342;Turkey
8345;Turkey
8435;Germany
8441;Germany
8505;Germany
8527;France
8527;Madagascar
8551;Italy
8596;Germany
8600;Germany
8600;Turkey
8687;Turkey
8702;Slovakia
8902;Germany
8988;Germany
9076;Germany
9171;England
9211;Montenegro
9211;Serbia
9213;England
9345;Germany
9351;Germany
9476;Germany
9488;France
9488;Guinea
9497;England
9498;Ireland
9498;Northern
9501;Scotland
9538;New
9538;Zealand
9544;Romania
9603;Serbia
9610;Belgium
9628;Croatia
9637;Russia
9648;Russia
9648;Uzbekistan
9662;Azerbaijan
9662;Russia
9666;Slovakia
9695;Greece
9701;Slovakia
9714;Greece
9763;Czech
9763;Republic
9782;Ukraine
9788;Ukraine
9812;Angola
9812;Portugal
9831;Portugal
9875;Greece
9878;Ireland
9928;Germany
9999;England
10034;England
10083;Germany
10124;Romania
10374;and
10374;England
10374;Tobago
10374;Trinidad
10378;England
10384;England
10448;Germany
10523;Germany
11044;Germany
11053;Germany
11128;Germany
11233;Germany
11245;Germany
11349;Poland
11352;Scotland
11375;Scotland
11389;Germany
11670;England
11808;Italy
12120;Macedonia
12120;North
12266;Germany
12368;Norway
12385;Norway
12501;Belgium
12510;France
12567;Croatia
12572;England
12622;Scotland
12666;Scotland
12690;Ireland
12697;Ireland
12697;Northern
12718;Wales
12726;England
12764;France
12770;France
12800;Scotland
12803;Scotland
12813;Scotland
12871;Poland
12879;Montenegro
12955;Switzerland
12959;Hungary
12981;Greece
12992;Belgium
13012;Belgium
13094;Belgium
13104;Belgium
13139;Brazil
13139;Portugal
13152;Brazil
13153;Cameroon
13161;Brazil
13177;Portugal
13214;Angola
13214;Portugal
13260;Netherlands
13260;Suriname
13261;England
13262;and
13262;Tobago
13262;Trinidad
13331;England
13348;Belgium
13348;Brazil
13366;Czech
13366;Republic
13417;Scotland
13420;England
13519;England
13527;Scotland
13529;Scotland
13595;England
13651;Scotland
13653;England
13673;Ireland
13675;England
13680;England
13703;Wales
13713;England
13722;Belgium
13733;England
13737;England
13757;France
