TrainerID;ClubID;Since
1479;1443;2012-04-16
1481;1;2013-09-13
1482;48;2011-03-02
1487;89;2006-04-06
1488;398;2004-07-01
1489;6055;2018-06-22
1490;1033;2014-10-09
1491;602;1992-10-01
1503;321;2008-12-24
1508;362;2018-01-01
1512;339;2002-01-01
1516;57;1986-08-18
1517;91;1975-07-01
1518;92;1986-12-31
1519;790;2002-09-03
1520;16;1974-02-15
1521;16;1972-11-01
1522;762;2016-03-11
1523;350;2008-02-15
1524;1039;2016-11-11
1525;603;2002-02-18
1527;603;2016-10-05
1528;180;2004-08-18
1530;353;2012-01-01
1531;290;2018-01-01
1536;1421;2005-07-01
1537;244;2016-10-20
1540;150;2000-05-01
1542;1421;2003-07-01
1543;434;2008-08-17
1547;527;2000-07-01
1548;13;2006-05-23
1550;237;2011-10-03
1551;13;2004-05-31
1552;2441;2006-06-07
1553;1010;2015-07-01
1554;237;2004-07-01
1555;1084;2018-01-13
1556;150;2006-06-12
1558;379;2018-07-01
1559;131;2017-07-01
1561;3899;2016-10-26
1562;419;2013-09-02
1563;5225;2007-07-01
1569;990;2017-03-06
1571;5608;1998-01-01
1572;1075;2013-07-01
1573;1110;2002-07-01
1578;418;2004-09-20
1580;42;1971-11-18
1581;338;2009-05-25
1583;352;2006-11-07
1584;164;2017-02-22
1586;2503;2005-07-01
1588;2288;2017-12-28
1589;932;2011-07-01
1590;1075;2007-11-12
1593;1075;1998-07-01
1594;61;2011-11-28
1595;336;2018-07-01
1598;3008;2010-03-16
1609;1225;2013-01-01
1610;95;2012-07-01
1612;504;2017-03-12
1613;667;2014-03-29
1616;419;2018-03-12
1617;2049;2008-07-01
1618;663;2002-01-01
1623;301;2011-05-05
1636;197;2018-07-27
1646;180;2018-03-14
1647;290;2005-07-01
1648;16;2017-12-10
1649;1003;2004-10-12
1650;1027;2010-02-16
1662;187;1992-03-24
1669;92;1980-01-01
1676;2503;2006-08-21
1686;984;2014-07-01
1687;232;1939-04-01
1690;352;2018-03-12
1696;964;2014-03-20
1697;370;1995-02-01
1698;1049;2016-03-30
1701;990;2004-01-15
1703;603;1998-02-16
1705;164;2010-12-22
1708;22;1995-07-01
1709;931;2014-09-18
1717;991;2000-05-01
1718;703;2013-02-10
1722;352;1993-07-01
1727;1041;1988-07-01
1729;162;1994-09-15
1730;222;2005-08-23
1733;667;1998-07-15
1742;2288;1989-03-20
1752;2282;2012-05-14
1760;3837;2016-08-10
1762;195;2003-11-28
1763;195;2013-01-01
1766;496;2018-06-12
1771;328;2007-07-01
1775;873;2017-09-12
1778;354;2002-07-01
1790;663;1949-05-17
1798;77;2004-07-01
1799;543;2016-08-01
1800;6469;2016-05-03
1801;267;1995-01-01
1802;267;2003-01-01
1804;353;2016-09-20
1805;77;2004-01-01
1806;969;2013-12-09
1809;1038;2001-09-19
1810;430;2004-02-10
1812;920;2007-07-02
1813;699;2010-01-01
1815;234;1989-07-01
1825;681;2000-12-22
1827;232;1997-01-01
1828;124;2007-01-10
1832;430;2004-10-25
1834;683;2009-09-20
1837;204;2004-07-01
1840;204;2015-09-14
1842;94;1999-03-09
1847;244;2006-06-20
1848;157;2010-07-01
1856;786;2007-12-04
1857;7769;2018-07-26
1866;358;2016-01-14
1870;610;2005-03-15
1880;61;1990-03-19
1883;1064;2018-01-24
1886;1090;2014-09-29
1895;4603;2017-09-14
1899;399;2002-07-06
1906;413;1999-01-22
1908;419;2010-05-25
1909;989;2006-10-12
1910;625;2005-09-27
1911;419;2004-09-01
1916;91;2001-12-28
1920;95;2008-03-23
1922;91;1999-11-02
1923;101;2001-03-24
1924;101;2000-11-16
1925;38;2001-04-10
1926;21;2000-12-11
1928;533;2011-01-02
1930;99;1997-09-05
1931;1091;2010-06-14
1932;1025;2003-07-01
1933;416;2018-01-04
1934;1025;2007-07-01
1936;683;1994-10-20
1937;130;2004-12-15
1938;14;1962-07-01
1939;57;1960-07-01
1941;762;2008-09-26
1942;703;2004-12-16
1963;85;2018-01-04
1964;540;2014-10-16
1974;1096;2004-01-04
1976;418;2005-01-01
1980;71;2016-11-10
1981;459;1998-12-22
1982;72;2016-07-01
1985;3;2017-12-20
1987;995;2005-01-03
1988;984;2017-11-29
1990;148;1992-05-27
1992;543;2012-02-24
1993;1123;2006-10-16
1994;1071;2007-07-01
1998;931;1997-09-25
2001;337;2017-10-02
2003;349;2013-12-17
2005;94;1991-07-01
2019;20;2015-06-15
2024;618;2017-12-20
2027;6195;2003-11-10
2028;410;2016-03-14
2029;985;2014-07-14
2031;222;2014-11-10
2035;97;2010-04-01
2037;353;1989-01-01
2045;192;2014-06-02
2046;290;2017-06-01
2047;1025;2015-10-28
2048;86;2014-10-26
2049;430;2005-01-25
2050;95;2010-03-31
2052;354;2005-11-21
2055;1032;1998-03-25
2058;290;2011-06-08
2060;1038;2011-03-07
2061;6055;2003-09-11
2065;468;2007-02-13
2067;204;2013-07-01
2068;1091;2005-02-17
2071;6055;2017-09-28
2072;699;2006-06-01
2073;255;2015-10-06
2077;4603;2018-02-20
2078;156;2016-07-01
2081;130;2001-11-06
2084;129;1992-07-01
2085;197;2004-12-16
2089;255;2007-04-14
2090;703;2014-07-01
2091;52;2005-12-17
2099;12;2005-03-14
2100;267;2018-06-01
2107;455;2000-07-01
2114;88;2009-01-09
2119;676;1993-09-13
2120;234;2007-05-05
2121;36;1995-07-01
2122;4040;2015-12-28
2123;800;1980-07-01
2127;410;2015-06-04
2128;1390;2012-03-11
2130;800;2009-07-01
2132;410;2016-07-01
2135;430;2017-06-06
2136;416;2003-07-01
2139;1390;2007-11-13
2140;46;2000-10-07
2141;1390;2005-07-01
2142;1091;1995-11-27
2145;336;2015-06-05
2146;618;2008-11-11
2147;1035;1995-07-01
2148;1090;2014-07-01
2156;1;1998-09-16
2188;2441;2018-07-01
2190;468;1999-10-27
2196;540;2013-07-01
2200;403;2018-07-01
2232;35;1991-02-20
2233;413;2001-08-17
2234;403;2009-02-17
2235;2444;2013-12-27
2238;1025;2011-05-26
2252;709;2005-07-01
2259;1390;2001-10-15
2269;5;2001-03-12
2278;170;2016-06-07
2281;3;1972-07-01
2282;468;2011-07-01
2283;2503;2005-04-30
2285;2784;2017-06-05
2290;222;2005-07-01
2291;14;2006-01-01
2292;26;1987-07-01
2299;676;2012-12-03
2300;180;2018-12-06
2302;1082;2015-11-22
2303;1073;2005-07-01
2307;168;2009-06-17
2308;208;2013-07-13
2310;113;2002-03-06
2311;26;1985-07-01
2317;1084;2016-07-01
2324;58;1995-07-01
2325;2444;2017-01-05
2327;162;2007-07-01
2332;114;2015-06-12
2335;4603;2016-11-01
2336;706;1991-02-25
2341;20924;2016-07-28
2346;1;2006-10-30
2365;1073;2009-07-01
2367;35;1997-04-21
2369;1073;2002-01-24
2370;1180;2012-07-09
2371;312;2012-11-15
2373;354;1998-07-01
2379;8671;2006-07-01
2383;443;2009-07-01
2387;61;2008-09-19
2389;1184;1994-07-01
2390;413;2009-06-12
2400;91;1995-08-29
2403;826;1992-12-02
2406;2444;2014-11-25
2412;826;1989-07-01
2426;12460;2008-03-11
2434;14;1999-06-01
2436;122;1994-06-01
2438;21;2017-07-01
2440;156;2018-08-01
2441;676;1989-08-25
2443;122;1991-11-01
2450;122;2014-09-30
2451;2844;2011-01-01
2452;4772;2016-04-22
2454;30;2010-02-22
2455;265;2018-07-03
2459;447;2005-09-19
2460;677;2018-10-28
2461;1075;1990-11-01
2462;1032;2018-12-22
2465;395;1996-11-22
2467;168;1996-06-15
2468;2784;2005-12-01
2469;318;2014-10-07
2472;88;2010-11-15
2473;377;2018-03-12
2474;365;2010-07-01
2475;238;2014-09-01
2476;88;2017-08-08
2477;88;2014-12-01
2478;422;2016-03-13
2479;428;2013-11-12
2480;318;2018-10-31
2484;511;2010-03-21
2490;669;2012-05-21
2496;168;2008-11-17
2498;88;2001-07-03
2500;168;2007-10-22
2503;41;2014-09-16
2504;410;1987-10-12
2508;168;2013-09-27
2509;9026;2015-11-09
2512;282;2015-09-23
2519;101;2003-07-01
2542;61;1993-03-22
2543;272;1991-01-01
2545;338;2012-09-25
2546;150;2014-01-20
2551;583;1990-07-01
2553;399;2018-07-01
2558;1091;2005-09-17
2562;1050;2016-08-11
2567;1050;2012-06-06
2572;150;2009-06-09
2586;239;2012-06-25
2587;1044;2009-01-01
2588;13;2005-07-01
2590;365;2006-06-09
2592;377;2007-11-18
2593;321;2005-12-06
2594;683;2016-08-08
2597;903;2009-06-01
2598;312;2016-05-23
2599;1091;2017-08-11
2603;370;2009-07-01
2609;20;2004-03-02
2618;20;2017-01-30
2630;368;1996-01-25
2634;1039;1996-09-16
2635;1053;2008-07-01
2636;148;1998-10-01
2637;11;1986-03-25
2638;2553;2017-10-16
2639;43;2005-11-08
2640;1010;2001-07-01
2643;3837;2018-01-01
2654;1237;2014-12-31
2661;621;2005-10-31
2662;621;2005-06-21
2670;62;2004-01-01
2674;1421;2008-12-25
2675;355;2007-04-30
2676;22;2016-05-27
2678;422;2012-10-03
2679;969;2016-01-26
2680;995;2009-12-03
2681;7976;2008-07-20
2683;101;2005-10-31
2690;419;2016-06-23
2691;216;1995-07-01
2693;1189;1986-07-01
2694;365;2008-05-06
2695;540;2010-07-01
2696;1443;2004-03-20
2697;371;1998-07-17
2699;31614;2018-07-01
2701;931;2007-04-11
2704;1039;2006-09-20
2707;540;2011-08-05
