PlayerID;Position
6094;Attacking Midfield
6094;Left Winger
6106;Attacking Midfield
6107;Defensive Midfield
6112;Right Midfield
6112;Right Winger
6134;Central Midfield
6154;Attacking Midfield
6154;Right Midfield
6156;Left Midfield
6156;Right-Back
6299;Second Striker
6316;Defensive Midfield
6316;Left-Back
6340;Centre-Back
6340;Defensive Midfield
6349;Central Midfield
6349;Left Midfield
6367;Centre-Back
6367;Defensive Midfield
6396;Central Midfield
6396;Left Midfield
6419;Right Midfield
6421;Second Striker
6426;Left Winger
6426;Second Striker
6503;Attacking Midfield
6503;Defensive Midfield
6559;Defensive Midfield
6569;Left Winger
6569;Second Striker
6571;Central Midfield
6571;Right Midfield
6589;Right Winger
6589;Right-Back
6651;Right-Back
6717;Defensive Midfield
6722;Defensive Midfield
6746;Left Midfield
6751;Right-Back
6800;Left Winger
6800;Right Winger
6814;Right Winger
6832;Centre-Back
6832;Left-Back
6847;Left Winger
6847;Right Winger
6857;Centre-Back
6860;Left-Back
6866;Right Midfield
6866;Right-Back
6871;Attacking Midfield
6871;Right Winger
6873;Left Winger
6873;Right Winger
6878;Central Midfield
6878;Right Midfield
6888;Left Winger
6888;Right Winger
6892;Left Winger
6892;Right Winger
6896;Left-Back
6897;Central Midfield
6897;Centre-Back
6900;Second Striker
6910;Central Midfield
6963;Central Midfield
6985;Left-Back
7002;Central Midfield
7018;Right Winger
7022;Central Midfield
7022;Centre-Back
7024;Left-Back
7025;Central Midfield
7025;Centre-Back
7032;Left Midfield
7049;Left-Back
7049;Right-Back
7057;Left Midfield
7057;Left-Back
7069;Central Midfield
7072;Centre-Back
7072;Right-Back
7098;Attacking Midfield
7132;Left Midfield
7164;Left Midfield
7191;Defensive Midfield
7191;Right Winger
7195;Defensive Midfield
7195;Sweeper
7236;Defensive Midfield
7236;Left-Back
7266;Attacking Midfield
7266;Defensive Midfield
7315;Defensive Midfield
7315;Right-Back
7318;Left-Back
7349;Centre-Forward
7349;Left Winger
7364;Attacking Midfield
7446;Sweeper
7448;Defensive Midfield
7448;Right Midfield
7464;Left-Back
7486;Left Midfield
7496;Right Midfield
7506;Second Striker
7518;Defensive Midfield
7518;Left Midfield
7540;Sweeper
7555;Central Midfield
7572;Defensive Midfield
7575;Central Midfield
7575;Centre-Back
7579;Left Winger
7579;Right Winger
7581;Attacking Midfield
7606;Defensive Midfield
7606;Right Midfield
7608;Second Striker
7611;Centre-Forward
7611;Right Winger
7629;Central Midfield
7630;Second Striker
7631;Defensive Midfield
7631;Right-Back
7633;Central Midfield
7636;Left Winger
7636;Second Striker
7654;Defensive Midfield
7663;Attacking Midfield
7663;Left Winger
7704;Central Midfield
7708;Right Winger
7737;Central Midfield
7776;Left-Back
7776;Right-Back
7783;Right Midfield
7784;Central Midfield
7843;Left Winger
7843;Second Striker
7844;Attacking Midfield
7844;Left Winger
7858;Attacking Midfield
7858;Left Winger
7864;Left Winger
7864;Right Winger
7891;Attacking Midfield
7891;Right Midfield
7897;Centre-Forward
7897;Second Striker
7912;Left Winger
7912;Right Midfield
7920;Attacking Midfield
7920;Second Striker
7923;Defensive Midfield
7925;Defensive Midfield
7925;Left Midfield
7927;Central Midfield
7927;Centre-Back
7968;Left-Back
8038;Right-Back
8042;Defensive Midfield
8042;Right Midfield
8043;Centre-Back
8043;Left Midfield
8050;Left Midfield
8050;Left Winger
8078;Left-Back
8124;Attacking Midfield
8124;Centre-Forward
8143;Defensive Midfield
8143;Left Midfield
8194;Left Winger
8194;Second Striker
