TrainerID;Nationality
9874;Germany
9876;Germany
9877;Germany
9878;Germany
9894;Germany
9902;Germany
9903;Poland
9925;Germany
9927;Germany
9934;Austria
9935;Germany
10001;Germany
10009;Russia
10009;UdSSR
10029;Germany
10035;Germany
10060;Finland
10100;Germany
10114;Germany
10115;Germany
10182;Germany
10190;Germany
10193;Croatia
10213;Sweden
10270;Portugal
10347;Austria
10356;Germany
10367;Turkey
10484;Turkey
10515;Armenia
10529;Germany
10533;Scotland
10536;Germany
10536;Poland
10552;Bosnia-Herzegovina
10563;Portugal
10569;Bulgaria
10591;Portugal
10596;Scotland
10598;Scotland
10599;Scotland
10600;Scotland
10603;Scotland
10607;Poland
10609;Portugal
10622;Hungary
10625;Northern Ireland
10643;Spain
10656;Northern Ireland
10662;Germany
10665;Germany
10683;Belgium
10684;Paraguay
10759;Poland
10945;France
10945;Martinique
10996;Germany
11028;Germany
11054;Germany
11063;Germany
11068;Germany
11069;Germany
11186;Luxembourg
11229;Germany
11550;Ireland
11585;Portugal
11594;Hungary
11727;Netherlands
11745;Bosnia-Herzegovina
11847;Romania
11854;Germany
11860;Germany
11862;Poland
11880;Germany
11886;Germany
11899;Poland
11901;England
11908;Germany
11960;Germany
11974;Russia
11974;UdSSR
12054;Serbia
12058;Ukraine
12094;Ireland
12094;Spain
12103;Algeria
12113;Germany
12120;France
12131;Germany
12172;Germany
12214;Germany
12227;Germany
12253;Germany
12256;Germany
12259;Germany
12277;Germany
12280;Germany
12286;Germany
12297;Germany
12320;Scotland
12321;Scotland
12326;Hungary
12326;Spain
12347;Germany
12348;Germany
12356;Hungary
12431;Germany
12438;Germany
12439;Germany
12545;Italy
12546;Russia
12564;Austria
12683;Scotland
12721;England
12725;Germany
12727;Germany
12735;Austria
12753;Germany
12781;England
12794;Austria
12948;Denmark
12980;Germany
12987;Germany
12990;Croatia
12991;Germany
12999;Serbia
13024;Hungary
13040;Poland
13114;Russia
13128;Scotland
13155;Germany
13168;Austria
13184;Bulgaria
13195;Poland
13250;Austria
13285;Russia
13285;UdSSR
13293;France
13299;Bosnia-Herzegovina
13305;Austria
13333;Italy
13361;Belgium
13406;Russia
13406;UdSSR
13569;Argentina
13578;Russia
13581;Russia
13581;UdSSR
13585;France
13625;Romania
13699;Netherlands
13700;Ireland
13818;Germany
13876;Turkey
13877;Germany
13912;Bulgaria
14006;England
14051;Netherlands
14055;Netherlands
14058;Luxembourg
14060;Netherlands
14062;Netherlands
14069;Slovakia
14124;Spain
14151;Portugal
14162;Germany
14273;England
14324;Italy
14336;Poland
14372;France
14398;Czech Republic
14398;Netherlands
14401;Netherlands
14404;Netherlands
14410;Romania
14411;Netherlands
14520;Austria
14530;Netherlands
14612;Spain
14658;Montenegro
14756;Hungary
14760;Northern Ireland
14786;Austria
14795;Hungary
14795;Netherlands
14936;Germany
14938;Germany
15335;England
15743;Italy
15824;Norway
15927;Serbia
15970;Germany
15996;England
16061;Hungary
16204;Scotland
16209;England
16365;Albania
16374;England
16378;Greece
16384;Albania
16392;Uruguay
16434;Denmark
16435;Greece
16464;Italy
16465;Austria
16465;France
16468;Italy
16598;England
16599;Mozambique
16599;Portugal
16698;Hungary
16721;Hungary
16721;Romania
16734;Hungary
16870;Greece
16871;Greece
16897;Hungary
16981;Germany
16982;Germany
16984;Bulgaria
16985;Germany
16991;Greece
16993;Greece
16994;Greece
16995;England
17003;Hungary
17005;Greece
17059;France
17060;Spain
17128;Russia
17178;Italy
17178;Luxembourg
17179;France
17182;Slovakia
17190;Czech Republic
17215;Spain
17221;Spain
17237;Hungary
17240;Spain
17255;England
17286;Austria
17350;Netherlands
17351;Portugal
17402;Cyprus
17406;Belarus
17410;Germany
17419;Germany
17436;England
17477;England
17481;England
17481;Ireland
17594;Greece
17596;Hungary
17601;Belarus
17612;Spain
17624;England
17625;England
17732;Germany
17742;Scotland
17744;England
17922;France
17923;France
17945;Germany
17946;Germany
17947;Hungary
17948;Germany
17950;Germany
17951;Germany
18013;Austria
18015;Austria
18016;Belgium
18024;Georgia
18024;Russia
18026;Georgia
18027;Israel
18103;Ireland
18113;Bulgaria
18124;Spain
18125;Spain
18142;Denmark
18161;Albania
18169;Czech Republic
18170;Argentina
18170;Spain
18171;Norway
18173;Hungary
18214;Germany
18216;Germany
18219;Serbia
18220;Czech Republic
18266;Poland
18267;Czech Republic
18267;Slovakia
18269;Finland
18273;Northern Ireland
18275;Ukraine
18295;Brazil
18297;Greece
18311;Lithuania
18374;Belgium
18374;Croatia
18477;Germany
18484;Germany
18498;Germany
18523;Netherlands
18524;Sweden
18548;Germany
18576;Germany
18601;Portugal
18619;Germany
18624;Germany
18626;Russia
18647;Germany
18712;Spain
18741;Slovakia
18755;Hungary
18808;Germany
18951;Scotland
18957;Ukraine
18960;Northern Ireland
19007;England
19008;England
19065;Netherlands
19103;Russia
19104;Russia
19145;Romania
19185;Sweden
19241;Germany
19252;England
19270;Germany
19396;Georgia
19424;Germany
19436;Greece
19449;Greece
19450;Greece
19451;Greece
19468;Germany
19469;Spain
19495;Hungary
19495;Spain
19524;Italy
19532;Austria
19534;Germany
19548;England
19549;England
19554;Netherlands
19568;Switzerland
19576;Germany
19587;Netherlands
19589;Germany
19591;Germany
19593;Germany
19612;Germany
19612;Netherlands
19650;Germany
19651;Sweden
19683;Russia
19736;Italy
19745;Germany
19752;Germany
19759;Germany
19760;Germany
19761;Germany
19762;Germany
19764;Germany
19766;Germany
19771;Germany
19773;Germany
19785;Germany
19786;Germany
19793;Germany
19796;Germany
19800;Germany
19850;Germany
19914;Germany
19961;Scotland
19976;Germany
19989;Germany
20021;Germany
20023;Germany
20071;Germany
20102;Russia
20126;Germany
20185;Italy
20185;Uruguay
20189;Austria
20189;Germany
20196;England
20214;Germany
20239;Germany
20267;Hungary
20307;Germany
20311;Germany
20342;Germany
20479;Germany
20639;Netherlands
20699;Germany
20700;Germany
20701;Germany
20703;Germany
20705;Germany
20706;Germany
20757;Germany
20760;Germany
20811;Italy
20925;Germany
20977;England
20999;Spain
21000;Spain
21001;Spain
21016;Germany
21060;Serbia
21066;Germany
21148;Germany
21149;Germany
21224;England
21256;Austria
21258;Austria
21260;Austria
21261;Hungary
21264;Austria
21265;Austria
21290;Germany
21307;England
21318;Germany
21332;Hungary
21334;Hungary
21356;Scotland
21372;Germany
21391;Germany
21401;Scotland
21416;Denmark
21434;Austria
21461;Italy
21580;Germany
21584;Poland
21647;England
21648;Austria
21649;Austria
21659;Austria
21712;England
21714;Netherlands
21715;Austria
21716;Hungary
21717;Netherlands
21719;England
21720;England
21723;Netherlands
21724;Netherlands
21728;England
21738;England
21742;Netherlands
21753;Netherlands
21775;England
21799;Croatia
21804;England
21805;England
21806;Scotland
21808;Netherlands
21820;Germany
21836;Netherlands
21863;Netherlands
22016;Croatia
22060;Croatia
22060;Montenegro
22113;Slovakia
22116;Austria
22292;Israel
22298;France
22310;Croatia
22437;Italy
22465;Israel
22483;Hungary
22513;Portugal
22572;Greece
22619;Slovakia
22631;Romania
22633;Romania
22634;Romania
22636;Romania
22638;Romania
22639;Romania
22640;Romania
22641;Romania
22642;Romania
22643;Romania
22644;Romania
22655;Scotland
22678;Ukraine
22719;Romania
22823;Ireland
22824;Iceland
22829;Finland
22831;Spain
22835;Malta
22837;Poland
22854;England
22869;Albania
22885;Malta
22902;Bulgaria
22903;Northern Ireland
22907;Serbia
22941;Belgium
22941;Netherlands
22946;Germany
22946;Yugoslavia (Republic)
22962;Portugal
22989;Bulgaria
22993;Portugal
23002;Croatia
23003;England
23007;Israel
23016;Scotland
23020;Russia
23020;UdSSR
23021;Czech Republic
23024;Hungary
23025;Scotland
23026;Russia
23079;Iceland
23092;Russia
23117;Italy
23126;Bulgaria
23127;Denmark
23167;Montenegro
23194;North Macedonia
23217;Serbia
23247;Serbia
23249;Italy
23278;Czech Republic
23298;Sweden
23308;Norway
23377;Netherlands
23384;Netherlands
23393;Scotland
23403;Luxembourg
23414;Germany
23423;Bulgaria
23424;Netherlands
23425;Austria
23426;Czech Republic
23426;Switzerland
23427;England
23428;Austria
23429;Austria
23432;England
23435;England
23436;Northern Ireland
23437;Albania
23439;Sweden
23442;Finland
23448;Austria
23465;Italy
23472;Austria
23492;Germany
23500;Poland
23501;England
23530;England
23535;Scotland
23570;Scotland
23571;England
23572;England
23574;Norway
23575;Wales
23631;England
23632;England
23633;England
23634;England
23635;England
23636;England
23646;Germany
23717;Italy
23719;Italy
23733;Sweden
23794;Czech Republic
23856;France
23857;Algeria
23857;France
23860;France
23861;France
23862;France
23862;Italy
23866;England
23885;England
23886;England
23894;Germany
23912;England
23913;England
23918;England
23919;Scotland
23920;England
23921;England
23929;England
24042;Russia
24047;England
24106;England
24107;Italy
24131;Netherlands
24134;Italy
24135;Spain
24136;Italy
24184;England
24185;England
24195;Netherlands
24326;Belgium
24326;France
24352;England
24365;England
24366;England
24367;England
24388;Germany
24391;Hungary
24428;Ukraine
24453;Slovakia
24526;Netherlands
24533;Netherlands
24534;Netherlands
24602;Slovakia
24703;England
24867;Czech Republic
24910;England
24965;Scotland
24999;Argentina
24999;Uruguay
25093;Brazil
25112;Bulgaria
25250;Russia
25250;UdSSR
25259;Italy
25278;France
25283;Italy
25400;Argentina
25442;Russia
25442;UdSSR
25446;Brazil
25447;Austria
25448;Chile
25451;Jugoslawien (SFR)
25469;Italy
25506;Argentina
25506;France
25507;Bulgaria
25516;Hungary
25524;Austria
25551;Finland
25582;Netherlands
25611;Turkey
25650;Germany
25650;Yugoslavia (Republic)
25654;Netherlands
25685;Wales
25725;Netherlands
25726;Sweden
25736;Poland
25749;Netherlands
25822;Turkey
25857;Finland
25862;Netherlands
25930;Italy
25932;Italy
25934;Italy
25946;Netherlands
25982;Armenia
25994;Netherlands
25996;Romania
25997;Netherlands
26032;Italy
